Group 1,Group 2,Sample size G1,Sample size G2,Median centile G1,Median centile G2,P uncorrected,Cohens D lower CI,Cohens D upper CI,Cohens D,Mean group difference,P corrected (BH-FDR),Sex,Median group difference
ADHD,ND,329,100,0.507,0.306,0.0004,0.65,0.197,0.424,0.128,0.005,Female,0.201
ADHD,OCD,329,74,0.507,0.495,0.91791,0.238,-0.268,-0.015,-0.005,1,Female,0.012
ADHD,Other,329,117,0.507,0.519,0.92631,0.202,-0.221,-0.009,-0.003,1,Female,-0.012
ADHD,OTHER,329,56,0.507,0.276,0.006,0.696,0.125,0.411,0.126,0.0305,Female,0.231
ADHD,Other Psychiatric,329,111,0.507,0.394,0.05419,0.423,-0.009,0.207,0.061,0.1729,Female,0.113
ADHD,PD,329,67,0.507,0.56,0.49375,0.169,-0.358,-0.094,-0.027,0.8332,Female,-0.053
ADHD,SAD,329,150,0.507,0.47,0.68153,0.236,-0.152,0.042,0.012,0.9885,Female,0.037
ADHD,Schizoaffective Disorder,329,53,0.507,0.311,0.001,0.797,0.211,0.504,0.148,0.01,Female,0.196
ADHD,SCZ,329,315,0.507,0.366,0.0002,0.47,0.159,0.314,0.093,0.0031,Female,0.141
ADHD,SCZ-Relative,329,138,0.507,0.391,0.0356,0.415,0.015,0.215,0.064,0.1249,Female,0.116
ADHD,SMC,329,59,0.507,0.467,0.41656,0.395,-0.161,0.117,0.034,0.7615,Female,0.04
ADHD,SPECIFIC PHOBIA,329,159,0.507,0.416,0.48015,0.259,-0.121,0.069,0.021,0.8221,Female,0.091
Anorexia/Bulima,Anxiety/Phobia,105,1039,0.493,0.479,0.9941,0.203,-0.199,0.002,0.001,1,Female,0.014
Anorexia/Bulima,ASD,105,381,0.493,0.506,0.81812,0.191,-0.242,-0.025,-0.008,1,Female,-0.013
Anorexia/Bulima,Attention & Learning difficulty,105,99,0.493,0.205,0.0002,0.866,0.302,0.584,0.17,0.0031,Female,0.289
Anorexia/Bulima,BD,105,111,0.493,0.497,0.81772,0.237,-0.3,-0.032,-0.009,1,Female,-0.004
Anorexia/Bulima,Chronic Pain,105,63,0.493,0.48,0.84452,0.282,-0.347,-0.032,-0.01,1,Female,0.013
Anorexia/Bulima,EMCI,105,139,0.493,0.408,0.22818,0.414,-0.096,0.159,0.045,0.4711,Female,0.085
Anorexia/Bulima,LMCI,105,216,0.493,0.477,0.80352,0.262,-0.206,0.028,0.008,1,Female,0.016
Anorexia/Bulima,MCI,105,253,0.493,0.466,0.9697,0.234,-0.223,0.006,0.002,1,Female,0.028
Anorexia/Bulima,MCI-Risk,105,0,0.493,  NA,1, NaN, NaN, NaN, NaN,1,Female,  NA
Anorexia/Bulima,MDD,105,3461,0.493,0.492,0.79752,0.168,-0.221,-0.026,-0.008,1,Female,0.001
Anorexia/Bulima,ND,105,100,0.493,0.306,0.0056,0.665,0.108,0.386,0.117,0.0293,Female,0.188
Anorexia/Bulima,OCD,105,74,0.493,0.495,0.73133,0.244,-0.355,-0.055,-0.016,1,Female,-0.002
Anorexia/Bulima,Other,105,117,0.493,0.519,0.71473,0.216,-0.314,-0.049,-0.014,1,Female,-0.026
Anorexia/Bulima,OTHER,105,56,0.493,0.276,0.027,0.695,0.036,0.365,0.115,0.1008,Female,0.217
Anorexia/Bulima,Other Psychiatric,105,111,0.493,0.394,0.20018,0.444,-0.094,0.175,0.05,0.4337,Female,0.099
Anorexia/Bulima,PD,105,67,0.493,0.56,0.36996,0.169,-0.449,-0.14,-0.039,0.6944,Female,-0.067
Anorexia/Bulima,SAD,105,150,0.493,0.47,0.9705,0.255,-0.247,0.004,0.001,1,Female,0.023
Anorexia/Bulima,Schizoaffective Disorder,105,53,0.493,0.311,0.0036,0.823,0.149,0.486,0.137,0.0222,Female,0.182
