Group 1,Group 2,Sample size G1,Sample size G2,Median centile G1,Median centile G2,P uncorrected,Cohens D lower CI,Cohens D upper CI,Cohens D,Mean group difference,P corrected (BH-FDR),Sex,Median group difference
CN,ABNORMAL VENTRICAL,38839,73,0.497,0.486,0.51835,0.307,-0.152,0.077,0.022,0.6568,Female,0.011
CN,AD,38839,529,0.497,0.152,0.0002,0.964,0.792,0.878,0.251,0.0008,Female,0.345
CN,ADHD,38839,329,0.497,0.518,0.34997,0.16,-0.057,0.052,0.015,0.4815,Female,-0.021
CN,Anorexia/Bulima,38839,105,0.497,0.481,0.64814,0.236,-0.147,0.044,0.013,0.7828,Female,0.016
CN,Anxiety/Phobia,38839,1039,0.497,0.484,0.31697,0.092,-0.031,0.031,0.009,0.4426,Female,0.013
CN,ASD,38839,381,0.497,0.513,0.24838,0.044,-0.158,-0.057,-0.016,0.3632,Female,-0.016
CN,Attention & Learning difficulty,38839,99,0.497,0.197,0.0002,0.92,0.525,0.722,0.206,0.0008,Female,0.3
CN,BD,38839,111,0.497,0.432,0.12739,0.327,-0.045,0.141,0.04,0.2101,Female,0.065
CN,BIPOLAR/PSYCH-RELATIVE,38839,47,0.497,0.594,0.18038,0.091,-0.481,-0.195,-0.056,0.2843,Female,-0.097
CN,Chronic Pain,38839,63,0.497,0.363,0.001,0.669,0.174,0.422,0.121,0.003,Female,0.134
CN,DEMENTIA - LBD,38839,21,0.497,0.06,0.0002,1.692,0.836,1.264,0.361,0.0008,Female,0.437
CN,EMCI,38839,139,0.497,0.621,0.0016,-0.117,-0.45,-0.284,-0.081,0.0044,Female,-0.124
CN,LMCI,38839,216,0.497,0.313,0.0002,0.593,0.326,0.46,0.131,0.0008,Female,0.184
CN,MCI,38839,253,0.497,0.302,0.0002,0.549,0.302,0.426,0.122,0.0008,Female,0.195
CN,MCI-Risk,38839,0,0.497,  NA,1, NaN, NaN, NaN, NaN,1,Female,  NA
CN,MDD,38839,3461,0.497,0.481,0.045,0.07,0.001,0.035,0.01,0.084,Female,0.016
CN,ND,38839,100,0.497,0.284,0.0002,0.711,0.319,0.515,0.147,0.0008,Female,0.213
CN,OCD,38839,74,0.497,0.477,0.78232,0.26,-0.197,0.032,0.009,0.8982,Female,0.02
CN,Other,38839,117,0.497,0.435,0.37736,0.262,-0.101,0.081,0.023,0.5146,Female,0.062
CN,OTHER,38839,56,0.497,0.413,0.0336,0.545,0.021,0.283,0.081,0.0651,Female,0.084
CN,Other Psychiatric,38839,111,0.497,0.423,0.041,0.376,0.003,0.189,0.054,0.0778,Female,0.074
CN,PD,38839,67,0.497,0.646,0.0016,-0.154,-0.634,-0.394,-0.113,0.0044,Female,-0.149
CN,SAD,38839,150,0.497,0.444,0.07139,0.309,-0.011,0.149,0.043,0.1272,Female,0.053
CN,Schizoaffective Disorder,38839,53,0.497,0.267,0.0002,0.822,0.283,0.553,0.158,0.0008,Female,0.23
CN,Schizoaffective Disorder - Relative,38839,48,0.497,0.497,0.53955,0.372,-0.194,0.089,0.025,0.6799,Female,0
CN,SCZ,38839,315,0.497,0.228,0.0002,0.687,0.465,0.576,0.165,0.0008,Female,0.269
CN,SCZ-Relative,38839,138,0.497,0.365,0.0008,0.462,0.128,0.295,0.084,0.0025,Female,0.132
CN,SMC,38839,59,0.497,0.713,0.0002,-0.333,-0.844,-0.589,-0.168,0.0008,Female,-0.216
CN,SPECIFIC PHOBIA,38839,159,0.497,0.462,0.39156,0.224,-0.087,0.068,0.02,0.5293,Female,0.035
CN,Subacute Pain,38839,28,0.497,0.4,0.10979,0.675,-0.066,0.305,0.087,0.1877,Female,0.096
ABNORMAL VENTRICAL,AD,73,529,0.486,0.152,0.0002,1.131,0.63,0.881,0.229,0.0008,Female,0.334
ABNORMAL VENTRICAL,ADHD,73,329,0.486,0.518,0.84852,0.229,-0.279,-0.025,-0.007,0.9577,Female,-0.031
ABNORMAL VENTRICAL,Anorexia/Bulima,73,105,0.486,0.481,0.85431,0.269,-0.333,-0.032,-0.009,0.9619,Female,0.005
ABNORMAL VENTRICAL,Anxiety/Phobia,73,1039,0.486,0.484,0.71693,0.191,-0.284,-0.046,-0.013,0.8414,Female,0.002
ABNORMAL VENTRICAL,ASD,73,381,0.486,0.513,0.33077,0.129,-0.373,-0.122,-0.038,0.4578,Female,-0.027
ABNORMAL VENTRICAL,Attention & Learning difficulty,73,99,0.486,0.197,0.0002,0.981,0.356,0.668,0.184,0.0008,Female,0.289
ABNORMAL VENTRICAL,BD,73,111,0.486,0.432,0.67853,0.361,-0.234,0.063,0.018,0.8132,Female,0.054
ABNORMAL VENTRICAL,BIPOLAR/PSYCH-RELATIVE,73,47,0.486,0.594,0.15398,0.102,-0.642,-0.27,-0.078,0.2486,Female,-0.108
ABNORMAL VENTRICAL,Chronic Pain,73,63,0.486,0.363,0.0488,0.678,-0.007,0.335,0.098,0.0897,Female,0.123
ABNORMAL VENTRICAL,DEMENTIA - LBD,73,21,0.486,0.06,0.0002,1.796,0.745,1.27,0.339,0.0008,Female,0.427
ABNORMAL VENTRICAL,EMCI,73,139,0.486,0.621,0.0128,-0.077,-0.651,-0.364,-0.103,0.0279,Female,-0.135
ABNORMAL VENTRICAL,LMCI,73,216,0.486,0.313,0.0042,0.652,0.116,0.384,0.109,0.0101,Female,0.173
ABNORMAL VENTRICAL,MCI,73,253,0.486,0.302,0.015,0.597,0.072,0.335,0.1,0.0323,Female,0.184
ABNORMAL VENTRICAL,MCI-Risk,73,0,0.486,  NA,1, NaN, NaN, NaN, NaN,1,Female,  NA
ABNORMAL VENTRICAL,MDD,73,3461,0.486,0.481,0.72413,0.19,-0.273,-0.041,-0.012,0.846,Female,0.006
ABNORMAL VENTRICAL,ND,73,100,0.486,0.284,0.0058,0.738,0.123,0.431,0.125,0.0135,Female,0.202
ABNORMAL VENTRICAL,OCD,73,74,0.486,0.477,0.77532,0.281,-0.371,-0.045,-0.013,0.8931,Female,0.009
ABNORMAL VENTRICAL,Other,73,117,0.486,0.435,0.9613,0.298,-0.29,0.004,0.001,1,Female,0.051
ABNORMAL VENTRICAL,OTHER,73,56,0.486,0.413,0.28457,0.546,-0.159,0.193,0.059,0.4047,Female,0.073
ABNORMAL VENTRICAL,Other Psychiatric,73,111,0.486,0.423,0.43596,0.413,-0.182,0.115,0.032,0.5678,Female,0.063
ABNORMAL VENTRICAL,PD,73,67,0.486,0.646,0.0046,-0.144,-0.823,-0.483,-0.135,0.0108,Female,-0.16
ABNORMAL VENTRICAL,SAD,73,150,0.486,0.444,0.59714,0.357,-0.206,0.076,0.021,0.7326,Female,0.042
ABNORMAL VENTRICAL,Schizoaffective Disorder,73,53,0.486,0.267,0.0112,0.839,0.115,0.477,0.136,0.0248,Female,0.219
ABNORMAL VENTRICAL,Schizoaffective Disorder - Relative,73,48,0.486,0.497,0.9567,0.379,-0.357,0.011,0.003,1,Female,-0.011
ABNORMAL VENTRICAL,SCZ,73,315,0.486,0.228,0.0006,0.741,0.225,0.483,0.143,0.002,Female,0.258
ABNORMAL VENTRICAL,SCZ-Relative,73,138,0.486,0.365,0.13819,0.504,-0.069,0.217,0.062,0.2261,Female,0.121
ABNORMAL VENTRICAL,SMC,73,59,0.486,0.713,0.0002,-0.353,-1.067,-0.71,-0.19,0.0008,Female,-0.227
ABNORMAL VENTRICAL,SPECIFIC PHOBIA,73,159,0.486,0.462,0.9585,0.27,-0.287,-0.008,-0.003,1,Female,0.024
ABNORMAL VENTRICAL,Subacute Pain,73,28,0.486,0.4,0.32697,0.667,-0.217,0.225,0.065,0.4552,Female,0.086
AD,ADHD,529,329,0.152,0.518,0.0002,-0.734,-1.022,-0.878,-0.236,0.0008,Female,-0.365
AD,Anorexia/Bulima,529,105,0.152,0.481,0.0002,-0.688,-1.119,-0.903,-0.238,0.0008,Female,-0.329
AD,Anxiety/Phobia,529,1039,0.152,0.484,0.0002,-0.765,-0.983,-0.874,-0.242,0.0008,Female,-0.332
AD,ASD,529,381,0.152,0.513,0.0002,-0.799,-1.077,-0.938,-0.267,0.0008,Female,-0.361
AD,Attention & Learning difficulty,529,99,0.152,0.197,0.11959,0.043,-0.387,-0.172,-0.044,0.1993,Female,-0.045
AD,BD,529,111,0.152,0.432,0.0002,-0.593,-1.013,-0.803,-0.211,0.0008,Female,-0.28
AD,BIPOLAR/PSYCH-RELATIVE,529,47,0.152,0.594,0.0002,-0.877,-1.491,-1.184,-0.307,0.0008,Female,-0.442
AD,Chronic Pain,529,63,0.152,0.363,0.0008,-0.235,-0.762,-0.499,-0.13,0.0025,Female,-0.211
AD,DEMENTIA - LBD,529,21,0.152,0.06,0.0344,0.874,-0.002,0.436,0.111,0.0664,Female,0.093
AD,EMCI,529,139,0.152,0.621,0.0002,-1.07,-1.468,-1.269,-0.332,0.0008,Female,-0.469
AD,LMCI,529,216,0.152,0.313,0.0002,-0.291,-0.612,-0.452,-0.119,0.0008,Female,-0.161
AD,MCI,529,253,0.152,0.302,0.0002,-0.324,-0.628,-0.476,-0.129,0.0008,Female,-0.15
AD,MCI-Risk,529,0,0.152,  NA,1, NaN, NaN, NaN, NaN,1,Female,  NA
AD,MDD,529,3461,0.152,0.481,0.0002,-0.757,-0.944,-0.85,-0.241,0.0008,Female,-0.328
AD,ND,529,100,0.152,0.284,0.001,-0.18,-0.61,-0.395,-0.104,0.003,Female,-0.132
